intent,document
불안,퇴원하고 나오는데 다시 불안감이 도졌어요.
불안,너무 불안해서 미칠 거 같아.
불안,모든걸 희생하다가 내 인생이 끝날 것 같아요.
불안,그냥 감정이입이 심하게 되고 불안감도 잘 느끼는 것 같아요.
불안,이제 곧 고3인데 너무 불안해.
불안,어쩌다 붙잡혀서 전단이라도 받게 되면 나한테 뭔가 나쁜 일이 생길 것 같이 불안했어요.
불안,오전 내내 불안해서 일을 못하겠는거예요.
불안,일은 어떻게 무마됐는데 그 이후로 맨날 너무 불안해.
불안,근데 집 와서 생각해보니까 갑자기 막 불안해지는 거예요.
불안,근데 그렇게 안 하면 불안해서 견딜 수가 없어요.
불안,그렇지 않으면 뭔가 찝찝하고 불안하거든.
불안,근데 쉽지 않은 것 같아요. 요즘 자꾸 너무 불안해져요.
불안,주변에서 괜찮다고 아무 일 없다고 하는데 저는 계속 불안했어요.
불안,평소에도 좀 평소랑 다른 일이 있으면 금방 불안해지는 편이거든?
불안,그때부터 조금씩 불안해지더라고요.
불안,매일매일 마음이 조마조마해.
불안,어떤 돌발상황이 발생할지 모르니까 너무 불안해요.
불안,발이 허공에 떠 있는 거 같아요.
불안,불안불안 위태위태해요.
불안,불안감이 사라지질 않아요.
불안,그런데 저는 왜 안심이 안 될까요?
불안,하루에도 몇 번씩 미치게 불안해.
불안,마음에 평안이 왔으면 좋겠다…
불안,마음에 평화가 찾아오면 좋겠다.
불안,마음이 고요하고 차분해졌으면 좋겠어.
불안,어떻게 하면 이 불안감이 사라질까요?
불안,걔를 보면 내가 불안해져.
불안,항상 흔들다리 건너는 거처럼 발 아래가 불안해.
불안,안심이 안 된다…
불안,너무 불안해서 일을 할 수가 없어.
불안,10분정도 갇혀있었는데…패닉상태였어요.
불안,오늘은 자다 일어났는데 머리를 벽에 박고 싶을 만큼 불안했어요.
불안,마음이 편하지 않고 조마조마해.
불안,근데 안 먹으면 참을 수가 없어. 너무 불안해서 견딜 수가 없거든.
불안,어쨌든 괜찮아져서 이제는 좀 잘 자는데 사실 그래도 좀 불안해.
불안,담임이 엄마한테 전화를 할 수도 있는 거고 그래서 불안했어요.
불안,안 뽑으려고 해도 안 뽑으면 오히려 더 불안해져서…
불안,그러고 나서 그 날 밤부터 너무 불안한 거야.
불안,요즘 너무 불안해요. 불안해서 미쳐버릴 것 같아요.
불안,근데 뭔가 되게 찝찝한 거예요. 안 됐는데 됐다고 하는 거 아닐까 싶어서…
불안,그 사고 후부터 하루종일 너무 불안해요.
불안,근데 그 후부터 하루종일 너무 불안해요.
불안,그렇게 잠긴 걸 봐도 금방 또 다시 불안해져요.
불안,그러다 보니까 그냥 길을 걸어가는 것만 해도 불안해져.
불안,막 엄청 불안한 건 아닌데 항상 조금씩? 잔잔하게 불안하더라고.
불안,이게 약간 내 몸에 익숙해져서 나중에는 이 불안함이 디폴트가 되는 게 아닐까?
불안,불안해요.
불안,이상하게 불안하고.
불안,"너무 불안한데, 제가 잘못 되는 건 아니겠죠?"
불안,증상이 더 악화되는 것 같아요.. 불안해요..
불안,갑자기 너무 이상하잖아.. 검사를 받아야 할 것 같았어.
불안,몸에 없으면 금방 불안해져.
불안,내가 생각해도 요즘 내가 이상한 것 같아서 그런지 좀 불안해.
불안,휴교하는 동안 집에서 쉬느라 좋긴 좋았는데 한편으론 불안한 거야.
불안,누워 있는 와중에도 계속 그 생각 들어서 불안한 마음으로 쉬었어.
불안,그래서 그런지 뭔가 불안한 마음이 되게 커졌어요.
불안,어쩔 수 없다고 생각은 하면서도 그래도 불안한 건 어쩔 수가 없더라.
불안,근데 이제 와서 다시 될까 싶고 너무 불안한 거예요.
불안,근데 지난 번에 학교 가려고 셔틀을 탔는데 갑자기 엄청 불안한 거예요.
불안,엄마한테 걸릴까봐 좀 불안하긴 해.
불안,크게 못 느끼고 있었는데 막상 그 얘길 들으니까 더 불안하고 긴장되는 느낌이었어.
불안,평소 때도 늘 불안하고 떨려.
불안,늘상 불안하고 떨려.
불안,평소에도 불안하고 떨려요.
불안,항상 불안하고…옆에 사람이 없으면 긴장을 심하게 해요.
불안,"슬슬 결혼도 해야 하는데, 어떻게 먹고 살아야 하나 가끔 그런 생각이 들 때가 있어요."
불안,나중 일 생각하면 불안해요.
불안,가끔 앞날 생각하면 불안하긴 해요.
불안,몇 년 전부터 세무사 시험 준비 중인데…시험에 한번 떨어지고부터 자신감도 없어지고…불안감이 생긴것 같아요.
불안,그래서 그런지 모르겠는데 항상 미래에 대한 불안한 생각이 있었어.
불안,내 미래는 앞으로 어떻게 되나 불안하기도 하고…
불안,어떨 때는 들리고 어떨 때는 괜찮으니까… 언제 그런 증상이 나타날까 불안해.
불안,증상이 1~2일에 한번씩 반복됐어요. 언제 나타날지 모르는 증상 때문에 너무 불안했어요. 
불안,"다시 공황 증상이 올까봐 불안하긴 했는데, 버스를 아예 못 타는 건 아니야."
불안,또 그럴까 봐 너무 불안해.
불안,또 사람 많은 곳에서 발작이 일어나면 어떡하지?
불안,언제 발작이 일어날지 모르니까 너무 불안해요.
불안,이후에 2번 더 증상이 나타났는데 또 그럴까 봐 너무 불안하네요.
불안,이게 언제 어디에서 다시 나타날지 모르겠어서 너무 불안했어요.
초조,너무 불안하고 초조해서 잠이 올 생각을 안해..
초조,하루종일 불안하고 초조해.
초조,불안하고 초조한 느낌이 늘 베이스로 깔려 있는 거 같아.
초조,너무 불안하고 초조해서 잠이 올 생각을 안 해..
초조,불안하기도 하고 초조하기도 해요.
슬픔,"원래 이렇지 않았는데, 두 달 정도 된 것 같아. 교육 중에 장애 가진 아이들 사례가 나오는데, 너무 슬픈거야."
슬픔,평소에는 목 끝까지 울음이 차있는 느낌이야. 
슬픔,누가 콕 찌르면 울 거 같은 느낌.
슬픔,지금도 슬픈 감정이 남아있어요.
슬픔,지금도 슬퍼.
슬픔,근데 요즘 들어 부쩍… 너무 슬퍼지는 거야.
슬픔,불쌍해 하면 안 되는데 애들이 너무 불쌍하고…
슬픔,아이들의 삶도 그냥 삶일 뿐인데 그냥 다 슬픈 얘기 같아.
슬픔,거의 10년 만에 보니까 또 되게 슬퍼졌어요.
슬픔,그런 생각이 드니까 삶이 쓸쓸하게 느껴지네요.
슬픔,이 세상에 저 혼자 남은 기분이에요.
슬픔,슬픔에서 벗어나고 싶어요.
슬픔,울면서 그냥 끝내자고 하는데…마음이 찢어질것 같았어.
슬픔,제일 슬펐던 건 그거였어. 학교에서 간담회 하는데 우리 부모님만 안 온 거야.
슬픔,그 때… 정말 많이 슬펐죠.
슬픔,근데 이따금 되게… 슬퍼져요.
슬픔,그 학생들을 볼 때마다 억장이 무너져요.
슬픔,정말 가슴이 무너지는 것 같았어.
외로움,"갈 데가 교회 뿐인데, 교회 사람들도 내 또래가 없어서 외로워."
외로움,저도 적적하잖아요.
외로움,너무 외로워요.
외로움,이렇게 사는게 익숙한데… 요즘은 부쩍 외롭고 그래…
외로움,내가 너무 앞서가니까 외로워.
외로움,그렇지만…저도 여자고…외로우면 기댈 곳이 필요하다구요.
외로움,약 먹고 증상이 나아져서 퇴원했는데..이상하게 서글프더라?
외로움,저 죽어봤자 어차피 아무도 모를 걸요.
외로움,메시지나 이메일은 주고 받는데 그래도 항상 아쉬워. 외롭고.
외로움,제가 얼마나 외로운지 그 사람은 모르는 거 같아요.
외로움,나 혼자 어디 무인도에 갇혀 있는 게 덜 외롭겠어.
외로움,마음이 추워.
외로움,형이랑 엄마랑 지내다가 혼자 있으니까 조금 외롭긴 하더라고요.
외로움,혼자 있어도 외롭고 같이 있어도 외로워.
외로움,그냥 세상 혼자인 기분이야.
외로움,진짜 내편은 세상 어디에도 없는것 같아.
외로움,아무도 내 뒤치다꺼리 해주는 사람은 없어요. 세상 외롭네요. 정말.
외로움,아무도 내 곁에 있어주지 않아..
외로움,외로워서 그런 것 같기도 하고.
외로움,9년 동안 하루도 외롭지 않았던 적이 없었어.
외로움,조숙하다는 말은 들었지만 외로움도 많이 느꼈던 것 같아요.
외로움,그 때 좀 외로움을 많이 타서 더 그랬던 것 같아요.
외로움,가끔씩은 외로움이 몰려와.
우울,특별히 아무 일도 없는데 그냥 우울해요. 
우울,그냥 하루종일 제 감정이 우울한 거 하나인 거 같아요.
우울,엄마랑 크게 싸운 다음부터 기분이 완전히 바닥을 쳤어요.
우울,좀 지나보니까 제가 그때 우울했던 거 같아요. 
우울,평소에 우울하죠. 
우울,하루종일 물속에 깊이 가라앉아있는 것 같아요. 
우울,아무것도 안 느껴지고… 마치 내가 없는 거 같아.
우울,기분이 침울하게 처져요.
우울,그 뒤부터 바쁠 땐 괜찮은데 한가해지고 생각할 수 있는 시간이 생기면 우울해져요.
우울,그 뒤부터 우울해진 거예요.
우울,"우울할 때도 있었는데, 원래 인생이 그런 가보다 생각했어요."
우울,다들 우울하다는 말 달고 다니고… 그래서 원래 다 우울해 하는 모양이다 싶은 거예요.
우울,그 외 시간에는 늘 우울한 기분이 깔려 있어.
우울,2년전부터 많이 우울했어요.
우울,바쁠 땐 아무 생각이 없는데 한가해질 때면 우울함이 밀려와요.
우울,대학 졸업하고 우울한 기분이 들 때도 있었지만 '인생이 다 그렇지 뭐'라고 대수롭지 않게 여겼어.
우울,우울함은 돈으로 해결되는 부분이 아니니까요.
우울,"아이도 빨리 갖고 싶은데, 내 뜻대로 안 되고 너무 우울해."
우울,"저는 2년 전부터 힘들었는데, 아버지는 2달 전부터 우울했다고 하더라고요."
우울,바쁘게 지낼 땐 생각 안하다가 시간이 나면 생각나면서 우울해져요.
우울,너무 우울해서 주저앉아서 그냥 울고 싶어졌어요.
우울,근데 가끔씩 우울한 게 확 밀려와요. 주기적으로 한 달에 한 번쯤.
우울,나랑 별로 친한 애도 아니었는데 그 날 하루종일 우울하더라.
우울,요즘 좀 부쩍 우울하긴 했어요.
우울,근데 그 후로 비 오는 날만 되면 부쩍 우울해져요.
우울,최근에 내가 웃은 적이 별로 없구나…
우울,좋을 때는 좋은데 우울할 때는 한도 끝도 없이 가라앉아요.
우울,나 우울해.
우울,기분이 좋을 때가 별로 없어.
우울,2년 동안 행복한 기분을 느껴본 적이 없어.
우울,2월달부터 지독하게 우울했어요.
우울,"우울증은 마음의 감기 같은 거라고 들어서, 저절로 사라질 줄 알았어요."
우울,누가 나를 이 수렁에서 건져줬으면 좋겠어.
우울,수렁에 빠진 기분이에요.
우울,몸부림 치면 칠수록 더더욱 깊이 가라앉는 거 같아요.
우울,이런 잡생각 없이 그냥 열심히 살고 싶은데.. 부쩍 마음이 울적하네요.
우울,그때부터 우울했던 것 같아요.
우울,그럴수록 더 우울해졌어요.
우울,그래도 여전히 우울한 마음이 들긴해요.
우울,2년 전부터 우울하지 않은 날이 없었어요.
우울,마음이 갈기갈기 찢어져서 도무지 나을 방법이 없어요.
우울,진흙 속을 걷는 기분이에요.
우울,고등학생 때는 좀 괜찮아졌는데 그 때부터 우울했어요.
우울,근데 뉴스에서 그 얘기를 계속 보니까 뭔가 나도 좀 우울한 것 같아.
우울,그 때 우울 지수가 되게 높다고는 했어요. 좀 우울하기도 했고…
우울,오늘 같은 날 기분이 좋아야 하는데 왜 이렇게 우울할까.
우울,그냥 막연히 우울하다고만 생각했지 그럴 줄은 몰랐거든.
우울,근데 또 나는 왜 이렇게 태어났지 싶어서 더 우울해지고…
우울,새벽이 유달리 조용하잖아. 그 때 혼자 깨있으면 진짜 더 우울해져.
우울,근데 의사가 만성적인 우울감이 있으면 이럴 수도 있다는 거야.
우울,나는 근데 내가 그렇게 우울하게 사는지 잘 몰랐거든.
우울,근데 요즘 들어 부쩍 우울해지는 거야.
우울,우울해서 가끔은 그냥 막 울어버리고 싶기도 해.
우울,그래서 한동안 꽤 우울해서 산후우울증인 줄 알았거든요.
우울,근데 우울한 상태가 오래 가서 뭔가 다른 문제가 있는 것 같더라구요.
우울,이게 제가 우울해서 그런 건지 아니면 다른 이유 때문인지 모르겠는데…
우울,그래서 가끔 우울하긴 했는데 그래도 금방 극복했어.
우울,이게 노력을 했는데도 잘 안 되니까… 요즘 부쩍 우울해져서…
우울,그때부터 우울해졌어.
우울,너무 우울해요.
우울,선생님이 우울증이라고 하더라고요.
우울,원래는 우울감을 느끼는 성격이 아닌데 요새는 계속 우울해요.
우울,그때부터 자식들 얼굴을 보기가 싫고 우울해지기 시작한 것 같아요.
우울,그래서 가끔 우울하긴 했는데 그래도 금방 극복했어.
우울,이거 외에 별다른 증상은 없긴 한데 진짜 너무 우울해서…
우울,대학도 그냥 내 맘대로 가라는데 아 진짜 너무 우울해.
우울,현실적으로 그럴 수 있을 것 같지 않아서 너무 우울해.
우울,가서 우울감이 너무 심하다고 얘기했거든.
우울,이유가 없는데 왜 그러는지도 모르겠고… 이거 때문에 너무 우울해요 요즘.
우울,근데 밤에 자려고 눕거나 시간이 좀 생기면 우울해져.
우울,이런 생각만 계속 들어서 자꾸 정말 우울해져.
우울,평생 남 눈치만 보다가 이렇게 우울해진 건데 내가 왜?
우울,그거 듣고 나니까 더 우울해진 것 같아.
우울,이런 일 있고 나니까 진짜 하루종일 우울해.
우울,그렇게 봄이 지나가면 한순간에 우울해져요.
우울,"아무 일도 없는데, 우울해서 그냥 펑펑 울고 싶을 때가 있어요. "
우울,내가 너무 바보 같아요. 시도 때도 없이 눈물이 나고 우울해요.
우울,한 번 우울해지면 깊게 빠지는 것 같아. 옆에서 누가 뭐라고 하면 감정이 격해지면서 울 것 같아.
우울,이거 나중에 또 어떻게 찌우나 싶고… 우울해서 울고만 싶고…
우울,하루종일 우울한 생각만 들고 그냥 눈물만 나.
우울,근데 대학 들어오니까 또 우울해져가지고…
우울,이번에도 그렇게 하루 이틀 지나면 기분이 나아질 거라고 생각했는데…
우울,우울감이 이렇게 길게 이어진 적이 없어요.
우울,우울증이 다시 도진 거 같아.
우울,근데 뭔가 이것도 순간인 것 같아. 어느 순간 또 갑자기 우울해질 때가 있거든.
우울,근데 뭔가 이것도 순간인 것 같아. 어느 순간 또 갑자기 우울해질 때가 있거든.
우울,내 마음이랑 상관없이 주기적으로 우울증이 오는 것 같아. 
우울,집에 와서도 계속 생각나고 우울하고 그래요. 한 이틀 가는 것 같아요.
우울,그 뒤로 우울증이 생긴 것 같아요. 약을 먹어도 그때뿐이고… 잘 안 낫네요.
우울,그래서 요즘 계속 우울해요.
우울,그래서 대학 들어가기 전까지 계속 우울했던 것 같아요.
우울,그 당시에 우울감이 몇 주 정도 지속됐던 거 같아요.
우울,2년 전부터 지속적으로 우울했어요.
우울,우울한 건 아직도 그래요. 하루종일 우울해요.
우울,그래도 우울한 기분은 쉽게 없어지지 않더라구요…
의욕상실,다른 사람들은 저러고 살아서 행복할까?
의욕상실,다들 뭘 바라고 그렇게 열심히 사는지 이해가 안 돼.
의욕상실,의욕도 안 나고… 세상이 싫고… 그냥 사춘기인 줄 알았거든요.
의욕상실,이거 다니는 게 소용이 있나 싶어요. 
의욕상실,항상 시계추처럼 똑딱똑딱… 똑같은 일만 반복하는데 이게 무슨 의미가 있을까. 
의욕상실,정말 즐거운 일이 없어요.
의욕상실,요즘 부쩍 삶의 의욕이 떨어지는 것 같아.
의욕상실,그런데 어느 순간 지긋지긋하더라고요. 
의욕상실,그냥 재미가 없네요. 왜 사는 건지 딱히 이유를 찾을 수가 없어요.
의욕상실,요즘 일하기도 싫고 살 맛 안 나.
의욕상실,그래서 요즘 출근하기도 싫고 의욕도 안 생기고 그렇네요.
의욕상실,이러니까 좀처럼 제대로 일할 수가 없고 그러니까 의욕이 없어.
의욕상실,누가 나를 좀 대신해줬음 좋겠다…
의욕상실,"친구들은 토익을 딴다고 하고, 여행도 가고, 남자친구도 사귀는데… 저는 아무것도 하고 싶지 않은 거예요."
의욕상실,의욕이 하나도 안 생겨요.
의욕상실,두 달 전부터 아무 이유 없이 의욕이 없어…
의욕상실,다 때려치고 싶어.
의욕상실,더 이상 살면서 뭘 하고 싶은 것도 없거든요.
무기력,"수업 들으러 가야 하는데 일어나는 것도 힘들고, 귀찮아서 많이 빼먹었어."
무기력,집에 늘어져 있으니까 아무것도 하기 싫어요.
무기력,예전에는 재밌었던 게 지금은 너무 하기가 싫어.
무기력,아무 의욕도 안 생기고 그냥 무기력하고…
무기력,그렇게 잘 하던 일도 뭔가 다 하기 싫고… 아무 의욕도 안 생겨.
자살,죽고만 싶어. 
자살,먼지가 되고 싶어. 
자살,그냥 공기 중으로 스르륵 사라졌으면 좋겠어.
자살,그냥 내가 없어졌으면 좋겠다는 생각...
자살,그냥 죽고 싶어요… 
자살,"아무도 내 말을 귀담아듣질 않아요. 죽고 싶다고 하면 힘내라, 그렇게 말해요."
자살,살아서 뭐하나 싶어.
자살,가끔은 진짜 자살하고 싶다는 생각도 했어요.
자살,"죽고 싶은 마음은 있는데, 진짜로 죽고 싶은 건 아니에요."
자살,차라리 지금 인생이 끝났으면 좋겠어요.
자살,"목을 매려고 준비를 다 했는데, 실제로 뭘 하진 않았어."
자살,그냥 죽고 싶어.
자살,더 이상 살고 싶지 않아. 
자살,나 같은건 죽어야 해. 
자살,인생이 다 무슨 의미냐고. 이러다 미칠지도 몰라. 
자살,죽는 게 나을 것 같다는 생각이 들어.
자살,근데 난 진짜 심각하거든. 하루에도 몇 번씩 떨어질까 말까 고민하고…옥상에 올라가.
자살,이런 일이 생기니까 죽어버리고 싶어요.
자살,요즘은 죽고 싶은 마음마저 드네요.
자살,죽고싶다는 생각이 너무 많이 들어요.
자살,나도 죽으면 어떨까? 편해질까?
자살,목 매달아 죽으려고 준비했는데 실행에 옮기지는 않았어요.
자살,"죽고 싶은 마음이 많았는데, 실제로 시도해본 적은 없어요."
자살,"죽고 싶은 마음은 계속 있지만, 실제로 하진 않을 것 같아요."
자살,죽고 싶은데 이유가 있어요?
자살,그냥 살기 싫으니까 싫은 거지…
자살,차라리 죽는 게 편할까?
자살,하루종일 죽고 싶단 생각밖에 안 들고.
자살,그냥 하루하루가 지옥 같아요. 죽고 싶어요.
자살,진짜 괴로워서 죽고 싶다. 어떡하지?
자살,하루하루가 지옥같고… 맨날 죽고 싶었고.
자살,"나 진짜 내일 학교 못 갈 것 같아. 죽고 싶어. 죽을래, 그냥."
자살,지난 주에 비가 되게 많이 온 날에는 죽고 싶단 생각도 했어요.
자살,아빠도 없어서 힘든데 엄마까지 이러니까 정말 너무 죽고 싶었고…
자살,진짜 매일 매일 죽고 싶어가지고…
자살,"그래서 도로에 뛰어들까, 옥상에서 뛰어내릴까 한참 고민하고…"
자살,이렇게 민폐 끼칠 바에는 차라리 죽어버리자 싶었어.
자살,나 진짜 내일 어디서 확 뛰어내릴지도 몰라.
자살,내가 이 세상에 살아야 할 의미가 있을까?
자살,이제는 베란다만 보면 내가 뛰어내리는 게 상상이 돼.
자살,유서 쓰고 뛰어내리고 싶어.
자살,정말 조만간 죽을 거 같아.
자살,"아, 남한테 폐 끼치지 말고 깨끗하게 죽자, 그런 생각이었어."
자살,작년에는 진짜 자살하고 싶은 마음이 강했어요.
자살,차 끌고 나가서 이대로 사고 내서 죽어버릴까? 싶은 생각도 해봤고.
자살,근데 무서워서 진짜로 죽는 건 못 하겠더라구요.
자살,죽고 싶어…
자살,이 세상에서 완전히 사라지고 싶어.
자살,어떻게 죽어야 아프지 않게 죽을 수 있을까?
자살,지금은 조금 괜찮아졌는데 언제 또 죽고 싶을지 몰라.
자살,너도 죽고 싶을 때가 있니?
자살,나는 내가 살아야 할 가치를 못 느끼겠어.
자살,수면제를 한번에 다 털어 넣고 죽어버리면 어떨까?
자살,"눈앞에 베란다가 보이면, 저기로 내가 떨어져서 죽으면 어떨까 그런 생각이 계속 머릿속을 맴돌아..."
자살,어떤 방법으로 죽는 게 덜 아플까?
자살,"아침에 일어나자마자 오늘은 어떻게 살아가지, 정말로 죽고 싶다… 그런 생각이 들 때가 있어."
자살,나는 내가 죽는 상상을 가끔 해.
자살,죽고 싶다는 생각이 너무 많이 들어요.
자살,나…죽고 싶어.
자살,죽고 싶은데 죽는 것도 쉽지가 않네.
자살,살아갈 이유가 없어. 누가 나를 죽여주면 좋겠어.
자살,하루는 혼자 멍하게 창 밖을 보는데…그냥 뛰어내리고 싶다는 생각이 드는거야.
자살,그냥 이대로 죽어버리고 싶어.
자살,열심히 살다가도 한번씩.. 그냥 나도 따라가고 싶단 생각이 들더라구요.
자살,죽고 싶어..
자살,계속.. 죽음에 대한 생각을 하게 됐어요.
자살,자살을 생각하고 있어요.
자살,"한강에 가면 유독 그런 생각해요. 빠져 죽을까. 빠지면 구출 될까, 한번에 죽을까."
자살,너무 죽고 싶은데 자살을 시도해 본적은 없어요.
자살,저희집이 높은 고층 아파트인데 아래를 내려다 볼 때면 떨어지고 싶은 충동이 들다가도.
자살,그래도 죽고 싶어요.
자살,그 당시에 제가 아주 죽고 싶었다는 것밖에는 생각이 안 나요.
자살,어떻게 살고 싶겠어요..
자살,머리가 터지든 마비가 오던 금방 죽어버렸으면 좋겠어요.
자살,밥해주고 빨래해주고 부모님 봐주는 사람이라고 여겼던 건가.. 살고 싶지 않고..
자살,"죽어야지..죽어야지..내가 무슨 부귀영화를 누린다고 엄마, 아버지도 다 돌아가시고 이렇게 살고 있나 싶고."
자살,요즘은 그냥 하루하루 죽고 싶어.
자살,그런 몽롱한 정신 상태에서 갑자기 죽고 싶단 생각이 들었어요.
자살,평소에 힘들었던 일 다 생각나면서 너무 죽고 싶어서…
자살,그냥 이렇게 살다가 확 죽어버렸으면 좋겠어.
자살,실제로 자살 시도를 해본 건 아닌데 그래도 맨날 죽고 싶었어.
자살,확 죽어버릴까? 내가 죽으면 부모님이 슬퍼는 할까?
자살,그냥 길 가다가도 도로에 뛰어들까 맨날 이 생각했거든.
자살,진짜… 너무 죽고 싶어요.
자살,그래도 맨날 죽고 싶단 생각은 해.
자살,죽으면 모든 게 다 끝나고 편해질 것 같아서 그러고 싶더라.
자살,상황이 이렇게 되니까 그냥 죽고 싶은 생각밖에 안 들어요.
자살,죽으면 모든 게 다 편해지니까 그냥 죽고 싶고…
자살,그냥… 죽고 싶어요.
자살,진짜 너무 죽고싶다.
자살,죽고싶다는 생각에 홧김에 아파트 옥상에 올라갔어.
자살,어제는 수업중에 창문으로 뛰어내리고 싶다는 생각했어요.
자살,그냥 그때 죽어버렸으면 좋았을텐데…
자살,"아무도 나한테 관심도 없고, 지금 당장 사라져도 슬퍼하는 사람이 없을 것 같아요."
자존감저하,남자친구가 워낙 괜찮으니까 한편으론 제가 너무 차이나는 느낌이었어요. 
자존감저하,남들이 우리를 어떻게 생각할까 신경쓰게 되고… 자존감이 낮아지는 것 같았어요. 
자존감저하,"남친 때문에 아무것도 못하겠고, 자존감이 더 떨어지는 기분이야.  "
자존감저하,사랑하는 사람과 동등한 입장이고 싶은데 그게 잘 안돼. 
자존감저하,자존감이 바닥을 쳤어…
자존감저하,되게 뒤처지는 기분 들고 그랬어요. 내가 정말 못난 것 같고.
자존감저하,퇴근은 항상 같이 하는데 그 때마다 제가 되게 못난 것 같아요.
자존감저하,"걔 앞에만 서면 되게 작아 보이고, 별 거 아닌 것 같고…"
자존감저하,뭔가 나한테 다른 문제가 있어서 그런 거 아닐까?
자존감저하,나는 문제가 있는 사람 아닐까?
자존감저하,나한테 무슨 문제가 있나? 안 예뻐서 그런가? 싶고…
자존감저하,오빠 앞에만 서면 제 자신이 너무 작아지고 그냥 숨고 싶어져요.
